PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20210122,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210122,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210122,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210125,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210126,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210127,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210128,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210128,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210128,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210128,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210128,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210129,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210129,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210129,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210129,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210129,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210201,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210201,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210201,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210201,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210201,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210202,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210202,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210202,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210202,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210202,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210203,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210203,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210203,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210203,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210203,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210204,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210204,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210204,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210204,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210204,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210205,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210205,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210205,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210205,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210205,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210208,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210208,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210208,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210208,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210208,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210209,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210209,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210209,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210209,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210209,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210210,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210210,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210210,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210210,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210210,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210215,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210215,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210215,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210215,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210215,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210216,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210216,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210216,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210216,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210216,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210217,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210217,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210217,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210217,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210217,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
